DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
1999-12-30,104-07,37.0567,130.0,14.49,14.5,14.5,14.5,14.49,14.39,12.71,7.12,4.03,1.82,1.27,1.01,0.77,0.53,0.6838000000000001
2000-03-01,104-07,37.0567,130.0,10.75,10.71,10.71,10.71,10.71,10.69,9.39,6.73,3.48,1.89,1.16,0.92,0.69,0.51,0.5952000000000001
2000-04-15,104-07,37.0567,130.0,13.43,13.43,13.42,13.4,13.36,12.88,10.62,6.54,2.86,1.58,1.1,0.92,0.64,0.5,0.5166000000000001
2000-06-12,104-07,37.0567,130.0,18.57,16.83,14.94,14.36,13.69,11.88,10.69,9.67,6.89,2.37,1.35,1.07,0.85,0.68,0.5748
2000-08-06,104-07,37.0567,130.0,22.96,19.64,16.12,13.25,11.5,11.04,10.82,10.69,10.51,8.62,3.35,1.16,0.96,0.75,0.6447
2000-10-11,104-07,37.0567,130.0,20.56,20.38,19.66,17.52,13.85,10.34,7.73,5.42,3.53,1.52,1.37,1.07,0.74,0.57,0.6228
2000-12-09,104-07,37.0567,130.0,17.93,17.93,17.92,17.95,17.81,17.25,12.98,5.12,2.9,1.64,1.17,1.01,0.71,0.51,0.7144
2001-02-19,104-07,37.0567,130.0,11.08,11.09,11.09,11.09,11.1,11.1,11.1,11.08,10.47,4.62,1.86,1.08,0.82,0.59,0.636
2001-04-16,104-07,37.0567,130.0,13.69,13.6,13.57,13.51,11.8,11.2,10.3,8.92,5.52,2.09,1.22,0.97,0.7,0.56,0.5433
2001-06-11,104-07,37.0567,130.0,19.86,19.87,17.22,15.97,14.87,14.58,11.53,8.65,5.4,2.34,1.36,1.06,0.85,0.62,0.5924
2001-08-24,104-07,37.0567,130.0,26.2,26.18,19.3,15.74,11.74,5.9,2.71,1.51,1.22,1.01,0.85,0.75,0.58,0.43,0.6424000000000001
2001-10-22,104-07,37.0567,130.0,21.16,21.17,21.17,21.16,18.96,16.42,15.33,13.15,11.3,7.07,1.54,0.97,0.75,0.59,0.8987
2001-12-20,104-07,37.0567,130.0,15.4,15.41,15.42,15.38,15.03,14.51,14.45,10.87,7.52,2.62,1.27,0.97,0.68,0.51,0.6567000000000001
2002-04-19,104-07,37.0567,130.0,13.41,13.27,12.53,12.49,12.48,11.81,10.32,9.58,8.15,3.37,1.46,1.0,0.77,0.62,0.5893
2002-06-06,104-07,37.0567,130.0,20.6,20.35,19.05,17.57,15.51,15.29,11.36,5.57,2.56,1.25,0.92,0.77,0.58,0.5,0.6359
2002-08-17,104-07,37.0567,130.0,22.41,20.75,17.29,16.86,16.39,13.13,10.04,5.84,3.0,0.94,0.85,0.76,0.65,0.57,0.6889000000000001
2002-12-20,104-07,37.0567,130.0,12.67,12.72,12.73,12.73,12.73,12.74,11.13,8.32,8.09,2.28,1.02,0.82,0.65,0.52,0.6018
2003-02-24,104-07,37.0567,130.0,9.54,9.59,9.6,9.61,9.57,9.48,9.32,5.77,5.57,2.59,1.46,0.99,0.73,0.61,0.5276000000000001
2003-06-13,104-07,37.0567,130.0,19.56,19.47,17.72,16.45,14.79,13.95,11.2,9.19,6.62,2.03,1.19,0.87,0.65,0.54,0.6436000000000001
2003-10-16,104-07,37.0567,130.0,21.43,21.69,21.67,21.61,17.65,15.72,14.13,10.67,6.67,2.28,1.3,0.99,0.71,0.58,0.8142
2003-12-24,104-07,37.0567,130.0,16.49,16.54,16.51,16.44,15.82,14.68,14.13,12.32,6.67,2.02,1.05,0.84,0.58,0.48,0.6407
2004-04-30,104-07,37.0567,130.0,14.9,15.02,15.0,14.88,14.76,13.94,8.96,4.36,3.11,1.49,0.96,0.76,0.56,0.47,0.5226000000000001
2004-06-14,104-07,37.0567,130.0,19.35,19.04,17.84,15.24,14.47,11.64,10.28,10.01,9.57,6.62,3.08,1.44,0.83,0.65,0.6428
2004-08-13,104-07,37.0567,130.0,26.36,25.3,20.82,16.61,15.27,13.46,10.67,7.04,4.23,1.85,1.11,0.88,0.64,0.52,0.6766
2004-10-23,104-07,37.0567,130.0,19.95,19.97,19.96,19.85,18.96,14.82,8.51,5.41,3.0,1.54,0.96,0.79,0.58,0.49,0.6554
2004-12-12,104-07,37.0567,130.0,17.97,17.97,17.96,17.88,17.65,17.41,10.34,4.96,3.25,1.63,1.05,0.78,0.61,0.51,0.6339
2005-03-08,104-07,37.0567,130.0,11.05,11.06,11.07,11.04,10.23,9.62,8.31,7.52,5.26,4.13,2.2,1.29,0.86,0.65,0.46790000000000004
2005-06-22,104-07,37.0567,130.0,20.85,18.04,12.46,8.2,5.21,3.07,2.02,1.57,1.29,1.01,0.82,0.71,0.57,0.45,0.42010000000000003
2005-08-18,104-07,37.0567,130.0,26.23,21.58,11.2,7.5,5.17,3.27,2.53,1.8,1.38,1.07,0.93,0.8,0.63,0.51,0.4368
2005-12-28,104-07,37.0567,130.0,12.85,12.85,12.9,12.91,12.91,12.86,11.1,7.21,5.08,2.64,1.5,1.05,0.75,0.6,0.6014
